Sample in Buffer,Sample in Window,TRIGGER,LVDS_DATA_0_DBG,LVDS_DATA_1_DBG,LVDS_DATA_2_DBG,LVDS_DATA_3_DBG
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
546,546,0,0,0,0,0
547,547,0,0,0,1,1
548,548,0,0,0,0,0
549,549,0,0,0,1,1
550,550,0,0,0,1,0
551,551,0,0,0,0,0
552,552,0,0,0,1,1
553,553,0,0,0,0,0
554,554,0,0,0,1,1
555,555,0,0,0,1,0
556,556,0,0,0,0,0
557,557,0,0,0,1,1
558,558,0,0,0,0,0
559,559,0,0,0,1,1
560,560,0,0,0,0,0
561,561,0,0,0,1,0
562,562,0,0,0,1,1
563,563,0,0,0,0,0
564,564,0,0,0,1,1
565,565,0,0,0,0,0
566,566,0,0,0,1,0
567,567,0,0,0,1,1
568,568,0,0,0,0,0
569,569,0,0,0,1,1
570,570,0,0,0,0,0
571,571,0,0,0,1,1
572,572,0,0,0,0,1
573,573,0,0,0,1,0
574,574,0,0,0,1,1
575,575,0,0,0,0,0
576,576,0,0,0,1,1
577,577,0,0,0,0,0
578,578,0,0,0,1,0
579,579,0,0,0,0,1
580,580,0,0,0,0,0
581,581,0,0,0,1,1
582,582,0,0,0,0,0
583,583,0,0,0,1,0
584,584,0,0,0,0,0
585,585,0,0,0,0,0
586,586,0,0,0,1,1
587,587,0,0,0,0,0
588,588,0,0,0,1,0
589,589,0,0,0,0,0
590,590,0,0,0,1,1
591,591,0,0,0,1,0
592,592,0,0,0,0,0
593,593,0,0,0,1,1
594,594,0,0,0,0,0
595,595,0,0,0,1,1
596,596,0,0,0,1,0
597,597,0,0,0,0,0
598,598,0,0,0,1,0
599,599,0,0,0,0,0
600,600,0,0,0,1,1
601,601,0,0,0,0,0
602,602,0,0,0,1,0
603,603,0,0,0,1,0
604,604,0,0,0,0,0
605,605,0,0,0,1,1
606,606,0,0,0,0,0
607,607,0,0,0,1,0
608,608,0,0,0,1,0
609,609,0,0,0,1,0
610,610,0,0,0,1,1
611,611,0,0,0,0,0
612,612,0,0,0,1,1
613,613,0,0,0,1,0
614,614,0,0,0,1,0
615,615,0,0,0,1,1
616,616,0,0,0,0,0
617,617,0,0,0,1,1
618,618,0,0,0,0,0
619,619,0,0,0,1,1
620,620,0,0,0,0,1
621,621,0,0,0,0,0
622,622,0,0,0,1,1
623,623,0,0,1,0,0
624,624,0,0,0,1,1
